"","Year","variable","value","Month"
"1",1950,"Jan",0.92,"Jan"
"2",1951,"Jan",0.08,"Jan"
"3",1952,"Jan",0.93,"Jan"
"4",1953,"Jan",0.33,"Jan"
"5",1954,"Jan",0.37,"Jan"
"6",1955,"Jan",-1.84,"Jan"
"7",1956,"Jan",-0.22,"Jan"
"8",1957,"Jan",1.05,"Jan"
"9",1958,"Jan",-0.54,"Jan"
"10",1959,"Jan",-0.87,"Jan"
"11",1960,"Jan",-1.29,"Jan"
"12",1961,"Jan",0.41,"Jan"
"13",1962,"Jan",0.61,"Jan"
"14",1963,"Jan",-2.12,"Jan"
"15",1964,"Jan",-0.95,"Jan"
"16",1965,"Jan",-0.12,"Jan"
"17",1966,"Jan",-1.74,"Jan"
"18",1967,"Jan",-0.89,"Jan"
"19",1968,"Jan",0.13,"Jan"
"20",1969,"Jan",-0.83,"Jan"
"21",1970,"Jan",-1.5,"Jan"
"22",1971,"Jan",-1.13,"Jan"
"23",1972,"Jan",0.27,"Jan"
"24",1973,"Jan",0.04,"Jan"
"25",1974,"Jan",1.34,"Jan"
"26",1975,"Jan",0.58,"Jan"
"27",1976,"Jan",-0.25,"Jan"
"28",1977,"Jan",-1.04,"Jan"
"29",1978,"Jan",0.66,"Jan"
"30",1979,"Jan",-1.38,"Jan"
"31",1980,"Jan",-0.75,"Jan"
"32",1981,"Jan",0.37,"Jan"
"33",1982,"Jan",-0.89,"Jan"
"34",1983,"Jan",1.59,"Jan"
"35",1984,"Jan",1.66,"Jan"
"36",1985,"Jan",-1.61,"Jan"
"37",1986,"Jan",1.11,"Jan"
"38",1987,"Jan",-1.15,"Jan"
"39",1988,"Jan",1.02,"Jan"
"40",1989,"Jan",1.17,"Jan"
"41",1990,"Jan",1.04,"Jan"
"42",1991,"Jan",0.86,"Jan"
"43",1992,"Jan",-0.13,"Jan"
"44",1993,"Jan",1.6,"Jan"
"45",1994,"Jan",1.04,"Jan"
"46",1995,"Jan",0.93,"Jan"
"47",1996,"Jan",-0.12,"Jan"
"48",1997,"Jan",-0.49,"Jan"
"49",1998,"Jan",0.39,"Jan"
"50",1999,"Jan",0.77,"Jan"
"51",2000,"Jan",0.6,"Jan"
"52",2001,"Jan",0.25,"Jan"
"53",2002,"Jan",0.44,"Jan"
"54",2003,"Jan",0.16,"Jan"
"55",2004,"Jan",-0.29,"Jan"
"56",2005,"Jan",1.52,"Jan"
"57",2006,"Jan",1.27,"Jan"
"58",2007,"Jan",0.22,"Jan"
"59",2008,"Jan",0.89,"Jan"
"60",2009,"Jan",-0.01,"Jan"
"61",2010,"Jan",-1.11,"Jan"
"62",2011,"Jan",-0.88,"Jan"
"63",2012,"Jan",1.17,"Jan"
"64",2013,"Jan",0.35,"Jan"
"65",2014,"Jan",0.29,"Jan"
"66",2015,"Jan",1.79,"Jan"
"67",2016,"Jan",0.12,"Jan"
"68",2017,"Jan",0.48,"Jan"
"69",2018,"Jan",1.44,"Jan"
"70",1950,"Feb",0.4,"Feb"
"71",1951,"Feb",0.7,"Feb"
"72",1952,"Feb",-0.83,"Feb"
"73",1953,"Feb",-0.49,"Feb"
"74",1954,"Feb",0.74,"Feb"
"75",1955,"Feb",-1.12,"Feb"
"76",1956,"Feb",-1.12,"Feb"
"77",1957,"Feb",0.11,"Feb"
"78",1958,"Feb",-1.06,"Feb"
"79",1959,"Feb",0.68,"Feb"
"80",1960,"Feb",-1.89,"Feb"
"81",1961,"Feb",0.45,"Feb"
"82",1962,"Feb",0.55,"Feb"
"83",1963,"Feb",-0.96,"Feb"
"84",1964,"Feb",-1.43,"Feb"
"85",1965,"Feb",-1.55,"Feb"
"86",1966,"Feb",-1.39,"Feb"
"87",1967,"Feb",0.19,"Feb"
"88",1968,"Feb",-1.29,"Feb"
"89",1969,"Feb",-1.55,"Feb"
"90",1970,"Feb",0.64,"Feb"
"91",1971,"Feb",0.24,"Feb"
"92",1972,"Feb",0.32,"Feb"
"93",1973,"Feb",0.85,"Feb"
"94",1974,"Feb",-0.14,"Feb"
"95",1975,"Feb",-0.62,"Feb"
"96",1976,"Feb",0.93,"Feb"
"97",1977,"Feb",-0.49,"Feb"
"98",1978,"Feb",-2.2,"Feb"
"99",1979,"Feb",-0.67,"Feb"
"100",1980,"Feb",0.05,"Feb"
"101",1981,"Feb",0.92,"Feb"
"102",1982,"Feb",1.15,"Feb"
"103",1983,"Feb",-0.53,"Feb"
"104",1984,"Feb",0.72,"Feb"
"105",1985,"Feb",-0.49,"Feb"
"106",1986,"Feb",-1,"Feb"
"107",1987,"Feb",-0.73,"Feb"
"108",1988,"Feb",0.76,"Feb"
"109",1989,"Feb",2,"Feb"
"110",1990,"Feb",1.41,"Feb"
"111",1991,"Feb",1.04,"Feb"
"112",1992,"Feb",1.07,"Feb"
"113",1993,"Feb",0.5,"Feb"
"114",1994,"Feb",0.46,"Feb"
"115",1995,"Feb",1.14,"Feb"
"116",1996,"Feb",-0.07,"Feb"
"117",1997,"Feb",1.7,"Feb"
"118",1998,"Feb",-0.11,"Feb"
"119",1999,"Feb",0.29,"Feb"
"120",2000,"Feb",1.7,"Feb"
"121",2001,"Feb",0.45,"Feb"
"122",2002,"Feb",1.1,"Feb"
"123",2003,"Feb",0.62,"Feb"
"124",2004,"Feb",-0.14,"Feb"
"125",2005,"Feb",-0.06,"Feb"
"126",2006,"Feb",-0.51,"Feb"
"127",2007,"Feb",-0.47,"Feb"
"128",2008,"Feb",0.73,"Feb"
"129",2009,"Feb",0.06,"Feb"
"130",2010,"Feb",-1.98,"Feb"
"131",2011,"Feb",0.7,"Feb"
"132",2012,"Feb",0.42,"Feb"
"133",2013,"Feb",-0.45,"Feb"
"134",2014,"Feb",1.34,"Feb"
"135",2015,"Feb",1.32,"Feb"
"136",2016,"Feb",1.58,"Feb"
"137",2017,"Feb",1,"Feb"
"138",2018,"Feb",1.58,"Feb"
"139",1950,"Mar",-0.36,"Mar"
"140",1951,"Mar",-1.02,"Mar"
"141",1952,"Mar",-1.49,"Mar"
"142",1953,"Mar",-0.04,"Mar"
"143",1954,"Mar",-0.83,"Mar"
"144",1955,"Mar",-0.53,"Mar"
"145",1956,"Mar",-0.05,"Mar"
"146",1957,"Mar",-1.26,"Mar"
"147",1958,"Mar",-1.96,"Mar"
"148",1959,"Mar",-0.15,"Mar"
"149",1960,"Mar",-0.5,"Mar"
"150",1961,"Mar",0.55,"Mar"
"151",1962,"Mar",-2.47,"Mar"
"152",1963,"Mar",-0.43,"Mar"
"153",1964,"Mar",-1.2,"Mar"
"154",1965,"Mar",-1.51,"Mar"
"155",1966,"Mar",0.56,"Mar"
"156",1967,"Mar",1.51,"Mar"
"157",1968,"Mar",0.4,"Mar"
"158",1969,"Mar",-1.56,"Mar"
"159",1970,"Mar",-0.96,"Mar"
"160",1971,"Mar",-0.84,"Mar"
"161",1972,"Mar",0.72,"Mar"
"162",1973,"Mar",0.3,"Mar"
"163",1974,"Mar",-0.03,"Mar"
"164",1975,"Mar",-0.61,"Mar"
"165",1976,"Mar",0.75,"Mar"
"166",1977,"Mar",-0.81,"Mar"
"167",1978,"Mar",0.7,"Mar"
"168",1979,"Mar",0.78,"Mar"
"169",1980,"Mar",-0.31,"Mar"
"170",1981,"Mar",-1.19,"Mar"
"171",1982,"Mar",1.15,"Mar"
"172",1983,"Mar",0.95,"Mar"
"173",1984,"Mar",-0.37,"Mar"
"174",1985,"Mar",0.2,"Mar"
"175",1986,"Mar",1.71,"Mar"
"176",1987,"Mar",0.14,"Mar"
"177",1988,"Mar",-0.17,"Mar"
"178",1989,"Mar",1.85,"Mar"
"179",1990,"Mar",1.46,"Mar"
"180",1991,"Mar",-0.2,"Mar"
"181",1992,"Mar",0.87,"Mar"
"182",1993,"Mar",0.67,"Mar"
"183",1994,"Mar",1.26,"Mar"
"184",1995,"Mar",1.25,"Mar"
"185",1996,"Mar",-0.24,"Mar"
"186",1997,"Mar",1.46,"Mar"
"187",1998,"Mar",0.87,"Mar"
"188",1999,"Mar",0.23,"Mar"
"189",2000,"Mar",0.77,"Mar"
"190",2001,"Mar",-1.26,"Mar"
"191",2002,"Mar",0.69,"Mar"
"192",2003,"Mar",0.32,"Mar"
"193",2004,"Mar",1.02,"Mar"
"194",2005,"Mar",-1.83,"Mar"
"195",2006,"Mar",-1.28,"Mar"
"196",2007,"Mar",1.44,"Mar"
"197",2008,"Mar",0.08,"Mar"
"198",2009,"Mar",0.57,"Mar"
"199",2010,"Mar",-0.88,"Mar"
"200",2011,"Mar",0.61,"Mar"
"201",2012,"Mar",1.27,"Mar"
"202",2013,"Mar",-1.61,"Mar"
"203",2014,"Mar",0.8,"Mar"
"204",2015,"Mar",1.45,"Mar"
"205",2016,"Mar",0.73,"Mar"
"206",2017,"Mar",0.74,"Mar"
"207",2018,"Mar",-0.93,"Mar"
"208",1950,"Apr",0.73,"Apr"
"209",1951,"Apr",-0.22,"Apr"
"210",1952,"Apr",1.01,"Apr"
"211",1953,"Apr",-1.67,"Apr"
"212",1954,"Apr",1.34,"Apr"
"213",1955,"Apr",-0.42,"Apr"
"214",1956,"Apr",-1.06,"Apr"
"215",1957,"Apr",0.49,"Apr"
"216",1958,"Apr",0.37,"Apr"
"217",1959,"Apr",0.36,"Apr"
"218",1960,"Apr",1.36,"Apr"
"219",1961,"Apr",-1.55,"Apr"
"220",1962,"Apr",0.99,"Apr"
"221",1963,"Apr",-1.35,"Apr"
"222",1964,"Apr",0.36,"Apr"
"223",1965,"Apr",0.72,"Apr"
"224",1966,"Apr",-0.75,"Apr"
"225",1967,"Apr",0.18,"Apr"
"226",1968,"Apr",-1.08,"Apr"
"227",1969,"Apr",1.53,"Apr"
"228",1970,"Apr",-1.3,"Apr"
"229",1971,"Apr",-0.24,"Apr"
"230",1972,"Apr",-0.22,"Apr"
"231",1973,"Apr",-0.54,"Apr"
"232",1974,"Apr",0.51,"Apr"
"233",1975,"Apr",-1.6,"Apr"
"234",1976,"Apr",0.26,"Apr"
"235",1977,"Apr",0.65,"Apr"
"236",1978,"Apr",-1.17,"Apr"
"237",1979,"Apr",-1.71,"Apr"
"238",1980,"Apr",1.29,"Apr"
"239",1981,"Apr",0.36,"Apr"
"240",1982,"Apr",0.1,"Apr"
"241",1983,"Apr",-0.85,"Apr"
"242",1984,"Apr",-0.28,"Apr"
"243",1985,"Apr",0.32,"Apr"
"244",1986,"Apr",-0.59,"Apr"
"245",1987,"Apr",2,"Apr"
"246",1988,"Apr",-1.17,"Apr"
"247",1989,"Apr",0.28,"Apr"
"248",1990,"Apr",2,"Apr"
"249",1991,"Apr",0.29,"Apr"
"250",1992,"Apr",1.86,"Apr"
"251",1993,"Apr",0.97,"Apr"
"252",1994,"Apr",1.14,"Apr"
"253",1995,"Apr",-0.85,"Apr"
"254",1996,"Apr",-0.17,"Apr"
"255",1997,"Apr",-1.02,"Apr"
"256",1998,"Apr",-0.68,"Apr"
"257",1999,"Apr",-0.95,"Apr"
"258",2000,"Apr",-0.03,"Apr"
"259",2001,"Apr",0,"Apr"
"260",2002,"Apr",1.18,"Apr"
"261",2003,"Apr",-0.18,"Apr"
"262",2004,"Apr",1.15,"Apr"
"263",2005,"Apr",-0.3,"Apr"
"264",2006,"Apr",1.24,"Apr"
"265",2007,"Apr",0.17,"Apr"
"266",2008,"Apr",-1.07,"Apr"
"267",2009,"Apr",-0.2,"Apr"
"268",2010,"Apr",-0.72,"Apr"
"269",2011,"Apr",2.48,"Apr"
"270",2012,"Apr",0.47,"Apr"
"271",2013,"Apr",0.69,"Apr"
"272",2014,"Apr",0.31,"Apr"
"273",2015,"Apr",0.73,"Apr"
"274",2016,"Apr",0.38,"Apr"
"275",2017,"Apr",1.73,"Apr"
"276",2018,"Apr",1.24,"Apr"
"277",1950,"May",-0.59,"May"
"278",1951,"May",-0.59,"May"
"279",1952,"May",-1.12,"May"
"280",1953,"May",-0.66,"May"
"281",1954,"May",-0.09,"May"
"282",1955,"May",-0.34,"May"
"283",1956,"May",2.21,"May"
"284",1957,"May",-0.79,"May"
"285",1958,"May",-0.24,"May"
"286",1959,"May",0.39,"May"
"287",1960,"May",0.45,"May"
"288",1961,"May",-0.36,"May"
"289",1962,"May",-0.1,"May"
"290",1963,"May",2.16,"May"
"291",1964,"May",0.52,"May"
"292",1965,"May",-0.62,"May"
"293",1966,"May",0.22,"May"
"294",1967,"May",-0.99,"May"
"295",1968,"May",-1.76,"May"
"296",1969,"May",0.55,"May"
"297",1970,"May",1.14,"May"
"298",1971,"May",0.5,"May"
"299",1972,"May",0.95,"May"
"300",1973,"May",-0.44,"May"
"301",1974,"May",-0.24,"May"
"302",1975,"May",-0.52,"May"
"303",1976,"May",0.96,"May"
"304",1977,"May",-0.86,"May"
"305",1978,"May",1.08,"May"
"306",1979,"May",-1.03,"May"
"307",1980,"May",-1.5,"May"
"308",1981,"May",0.2,"May"
"309",1982,"May",-0.53,"May"
"310",1983,"May",-0.07,"May"
"311",1984,"May",0.54,"May"
"312",1985,"May",-0.49,"May"
"313",1986,"May",0.85,"May"
"314",1987,"May",0.98,"May"
"315",1988,"May",0.63,"May"
"316",1989,"May",1.38,"May"
"317",1990,"May",-1.53,"May"
"318",1991,"May",0.08,"May"
"319",1992,"May",2.63,"May"
"320",1993,"May",-0.78,"May"
"321",1994,"May",-0.57,"May"
"322",1995,"May",-1.49,"May"
"323",1996,"May",-1.06,"May"
"324",1997,"May",-0.28,"May"
"325",1998,"May",-1.32,"May"
"326",1999,"May",0.92,"May"
"327",2000,"May",1.58,"May"
"328",2001,"May",-0.02,"May"
"329",2002,"May",-0.22,"May"
"330",2003,"May",0.01,"May"
"331",2004,"May",0.19,"May"
"332",2005,"May",-1.25,"May"
"333",2006,"May",-1.14,"May"
"334",2007,"May",0.66,"May"
"335",2008,"May",-1.73,"May"
"336",2009,"May",1.68,"May"
"337",2010,"May",-1.49,"May"
"338",2011,"May",-0.06,"May"
"339",2012,"May",-0.91,"May"
"340",2013,"May",0.57,"May"
"341",2014,"May",-0.92,"May"
"342",2015,"May",0.15,"May"
"343",2016,"May",-0.77,"May"
"344",2017,"May",-1.91,"May"
"345",2018,"May",2.12,"May"
"346",1950,"Jun",-0.06,"Jun"
"347",1951,"Jun",-1.64,"Jun"
"348",1952,"Jun",-0.4,"Jun"
"349",1953,"Jun",1.09,"Jun"
"350",1954,"Jun",-0.25,"Jun"
"351",1955,"Jun",-1.1,"Jun"
"352",1956,"Jun",0.1,"Jun"
"353",1957,"Jun",-0.72,"Jun"
"354",1958,"Jun",-1.38,"Jun"
"355",1959,"Jun",0.4,"Jun"
"356",1960,"Jun",-0.21,"Jun"
"357",1961,"Jun",0.86,"Jun"
"358",1962,"Jun",0.16,"Jun"
"359",1963,"Jun",-0.43,"Jun"
"360",1964,"Jun",1.29,"Jun"
"361",1965,"Jun",0.29,"Jun"
"362",1966,"Jun",1.05,"Jun"
"363",1967,"Jun",1.4,"Jun"
"364",1968,"Jun",0.33,"Jun"
"365",1969,"Jun",0.55,"Jun"
"366",1970,"Jun",1.55,"Jun"
"367",1971,"Jun",-1.57,"Jun"
"368",1972,"Jun",0.88,"Jun"
"369",1973,"Jun",0.39,"Jun"
"370",1974,"Jun",-0.14,"Jun"
"371",1975,"Jun",-0.84,"Jun"
"372",1976,"Jun",0.8,"Jun"
"373",1977,"Jun",-0.57,"Jun"
"374",1978,"Jun",1.38,"Jun"
"375",1979,"Jun",1.6,"Jun"
"376",1980,"Jun",-0.37,"Jun"
"377",1981,"Jun",-0.45,"Jun"
"378",1982,"Jun",-1.63,"Jun"
"379",1983,"Jun",0.99,"Jun"
"380",1984,"Jun",-0.42,"Jun"
"381",1985,"Jun",-0.8,"Jun"
"382",1986,"Jun",1.22,"Jun"
"383",1987,"Jun",-1.82,"Jun"
"384",1988,"Jun",0.88,"Jun"
"385",1989,"Jun",-0.27,"Jun"
"386",1990,"Jun",-0.02,"Jun"
"387",1991,"Jun",-0.82,"Jun"
"388",1992,"Jun",0.2,"Jun"
"389",1993,"Jun",-0.59,"Jun"
"390",1994,"Jun",1.52,"Jun"
"391",1995,"Jun",0.13,"Jun"
"392",1996,"Jun",0.56,"Jun"
"393",1997,"Jun",-1.47,"Jun"
"394",1998,"Jun",-2.72,"Jun"
"395",1999,"Jun",1.12,"Jun"
"396",2000,"Jun",-0.03,"Jun"
"397",2001,"Jun",-0.2,"Jun"
"398",2002,"Jun",0.38,"Jun"
"399",2003,"Jun",-0.07,"Jun"
"400",2004,"Jun",-0.89,"Jun"
"401",2005,"Jun",-0.05,"Jun"
"402",2006,"Jun",0.84,"Jun"
"403",2007,"Jun",-1.31,"Jun"
"404",2008,"Jun",-1.39,"Jun"
"405",2009,"Jun",-1.21,"Jun"
"406",2010,"Jun",-0.82,"Jun"
"407",2011,"Jun",-1.28,"Jun"
"408",2012,"Jun",-2.53,"Jun"
"409",2013,"Jun",0.52,"Jun"
"410",2014,"Jun",-0.97,"Jun"
"411",2015,"Jun",-0.07,"Jun"
"412",2016,"Jun",-0.43,"Jun"
"413",2017,"Jun",0.05,"Jun"
"414",2018,"Jun",1.09,"Jun"
"415",1950,"Jul",-1.26,"Jul"
"416",1951,"Jul",1.37,"Jul"
"417",1952,"Jul",-0.09,"Jul"
